inove,#main,"#main div.post",#pagenavi,"#pagenavi span.older a:first"
twentyten,#content,div.navigation,"#content  div.post","div.navigation a:first"
twentyeleven,#content,#nav-below,"#content article.post","#nav-below .nav-previous a:first"
atahualpa,td#middle,div.navigation-bottom,"td#middle div.post","div.newer a:link"
twentytwelve,#content,"#content nav",.hentry,"#content nav a"
Avenue,"#main .archive",.pagination,"#main .archive .post",".pagination .current + .inactive"
litepress,#content,.navigation,.recent-post,".navigation .next"
extranews,#content,div.navigation,"#content div.post","div.navigation a:first"
wiki,.content,.pagination,.post,.next
gridlocked,#primary,#index-navigation,"#content .hentry","#index-navigation .nav-next a:first"
picolight,#content,div.navigation,.post,"div.navigation div.alignleft a"
rustik,#content,#nav-below,.post,"#nav-below a:first"
weaver-ii-pro,#content,#nav-below,"#content article.post","#nav-below .nav-previous a:first"
